Título,Año,País
Sirenas,1993,Australia
Sitiados,1950,USA
Smoking Room,2002,Spain
Solo ante el peligro,1952,USA
Sólo el cielo lo sabe,1955,USA
Sólo mía,2001,Spain
"Stromboli, tierra de Dios",1950,Italy
Su juego favorito,1964,USA
Sueños,1955,Sweden
Swimming Pool,2003,France
Tambores lejanos,1951,USA
Tango,1998,Spain
Te querré siempre,1954,Italy
Tener y no tener,1944,USA
Tess,1979,France
Testigo de cargo,1957,USA
Abyss,1989,USA
Una mujer difícil,2004,USA
"Queen (La Reina), The",2006,UK
"Wire - Bajo escucha, The (temp",2002,USA
Tiburón,1975,USA
"Tiempo de amar, tiempo de mori",1958,USA
Tierra y libertad,1995,UK
Tierras de penumbra,1993,UK
Titanic,1997,USA
Ser o no ser,1942,USA
Todo por la pasta,1991,Spain
Todo sobre mi madre,1999,Spain
Todos a casa,1960,Italy
Toma el dinero y corre,1969,USA
Tomates verdes fritos,1991,USA
Toro salvaje,1980,USA
Traffic,2000,Germany
Tres reyes,1999,USA
trilogía de apu,,
El imperio contraataca,1980,USA
El retorno del Jedi,1983,USA
Star Wars: Episodio IV - Una n,1977,USA
Capote,2005,Cañada
Tsotsi,2005,UK
"Tú, yo y todos los demás",2005,USA
Tú y yo,1957,USA
Un botín de 500.000 dólares,1974,USA
Reservation Road,2007,USA
Un funeral de muerte,2007,USA
Un gángster para un milagro,1961,USA
"Pijama para dos""",1961,USA
un océano infinito BBC,,
Un puente lejano,1977,USA
Un tipo corriente,2002,Argentina
Un toque de canela,2003,Greece
Un tranvía llamado deseo,1951,USA
Un verano con Mónica,1953,Sweden
On Our Merry Way,1948,USA
Una habitación con vistas,1985,UK
Una historia verdadera,1999,France
Una jornada particular,1977,Italy
Una mujer para dos,1933,USA
Una partida de campo,1936,France
Una relación privada,2003 1999,portgal italia France
Una terapia peligrosa,1999,USA
Underworld,2003,UK
Uno dos y tres,1961,USA
Vacaciones en Roma,1953,USA
"Entre los muertos, De",1958,USA
Coronel Blimp,1943,UK
Viridiana,1961,Spain
Viva la libertad,1931,France
Vivir,1952,Japan
Wall Street,1987,USA
Whisky,2004,Uruguay
White Noise,2003,USA
Y Dios creó la mujer,1956,France
Y tu mamá también,2001,México
Zona libre,2005,usa
"Drácula, de Bram Stoker",1992,USA
Superman,1978,UK
El apartamento,1960,USA
Sitiados,1950,USA
Abril,1998,France
Julia,1977,USA
Arizona baby,1987,USA
Francés,1982,USA
Wallander - Temporada 1,2008,UK
Fuego en el cuerpo,1981,USA
Cuando muere el día,1941,USA
La última estación,2009,Germany
Las nieves del Kilimanjaro,1952,USA
Ave del paraíso,1932,USA
El pan nuestro de cada día,1934,USA
La brigada suicida,1947,USA
Orden: Caza sin cuartel,1948,USA
Macbeth,1948,USA
El extraño,1946,USA
Dead Man,1995,USA
La mu j er Mi nombre es Ninguno,1951,USA
,1973,Italy
Un final made in Hollywood,2002,USA
Todo lo demás,2003,USA
Melinda y Melinda,2004,USA
Sueños de un seductor,1972,USA
La maldición del escorpión de,2001,USA
Bowling for Columbine,2002,Cañada
Casablanca,1942,USA
Las vacaciones del señor Hulot,1953,France
Este contraveneno del Oeste,1994,Hong Kong
Sorgo rojo,1987,China
Hachi-gatsu no kyóshikyoku,1991,Japan
Gentlemán Jim,1942,USA
La historia oficial,1985,Argentina
Loca,1987,USA
Ninotchka,1939,USA
La delgada línea roja,1998,USA
Rufufú,1958,Italy
Cómo robar un millón y...,1966,USA
Sopa de ganso,1933,USA
La lista de Schindler,1993,USA
Babel,2006,France
Escrito sobre el viento,1956,USA
Los chicos de Scottsboro,2006,USA
Lady Jane,2008,France
Presidente Mitterrand,2005,France
Mi padre es ingeniero,2004,France
Marie-Jo y sus dos amores,2002,France
Marius y Jeannette (un amor en,1997,France
Hierro 3,2004,South Korea
Hwal (El arco),2005,South Korea
Time,2006,Japan
Brokeback Mountain,2005,Cañada
El fabuloso mundo del circo,1964,USA
Hiroshima mon amour,1959,France
Sed de mal,1958,USA
Sucedió mañana,1944,USA
Trainspotting,1996,UK
Reservoir dogs,,
Reservoir Dogs,1992,USA
Río Grande,1950,USA
Trapecio,1956,USA
Rebeca,1940,USA
El acorazado Potemkin,1925,Soviet Union
El caballero del Oeste,1945,USA
Syriana,2005,USA
El último mohicano,1992,USA
La ley del silencio,1954,USA
Los caballeros de la mesa cuad,1975,UK
Se armo la gorda,1971,UK
Aterriza como puedas,1980,USA
Atrapa a un ladrón,1955,USA
London River,2009,UK
El último gran mago,2007,UK
La habitación de Fermat,2007,Spain
El último samurai,2003,USA
Juno,2007,USA
Sicko,2007,USA
El último samurai,2003,USA
La última estación,2009,Germany
El espíritu de la colmena,1973,Spain
El niño de la bicicleta,2011,Belgium
"11'09,,01 - 11 de septiembre",2002,UK
paris je t'aime,2006,France
Sueños de haiti,2010,
De entre los muertos,1958,USA
La ventana indiscreta,1954,USA
Los intocables de Eliot Ness,1987,USA
Falso culpable,1956,USA
Tiburón,1975,USA
Salvar al soldado Ryan,1998,USA
Sin novedad en el frente,1930,USA
Encuentros en la tercera fase,1977,USA
El viaje de los malditos,1976,UK
Volver,2006,Spain
0 Brother!,2000,UK
Juana la Loca,2001,Spain
La hora de los valientes,1998,Spain
El perro del hortelano,1996,Spain
Amantes,1991,Spain
Cómo ser John Malkovich,1999,USA
La vida privada de Enrique VII,1933,UK
El halcón y Ia flecha,1950,USA
Los fabulosos Baker Boys,1989,USA
Juana la Loca,2001,Spain
La teta asustada,2009,Spain
"Casino, de Scorsese",1995,USA
El pirata Barbanegra,1952,USA
Tragedia y triunfo de Verdi,2010,Italy
Los pájaros,1963,USA
La vida de los otros,2006,Germany
El caso Bourne,2002,USA
El mito de Bourne,2004,USA
El ultimátum de Bourne,2007,USA
Green Zone: Distrito protegido,2010,France
Sucedió una noche,1934,USA
